City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,merizo village,13.2658,144.6691,27.21,93,99,5.22,GU,1721506372
250,bonthe,7.5264,-12.505,24.92,91,100,5.61,SL,1721506373
251,aral,40.5156,81.2636,29.04,32,0,3.48,CN,1721506375
252,gaalkacyo,6.7697,47.4308,26.61,51,100,10.84,SO,1721506376
253,yung shue wan,22.2333,114.1167,29.82,89,22,0.45,HK,1721506378
254,butterworth,5.3991,100.3638,29.02,74,20,1.03,MY,1721506379
255,rawson,-43.3002,-65.1023,12.62,38,1,4.78,AR,1721506381
256,gebeit,21.0667,36.3167,31.35,25,76,1.81,SD,1721506382
257,sao jose da coroa grande,-8.8978,-35.1478,23.83,81,54,6.6,BR,1721506384
258,nampula,-15.1165,39.2666,19.97,77,0,2.57,MZ,1721506385
259,ust-nera,64.5667,143.2,13.07,97,100,2.59,RU,1721506386
260,anqiu,36.4342,119.1925,24.26,98,50,3.24,CN,1721506388
261,kerikeri,-35.2268,173.9474,13.28,95,59,2.24,NZ,1721506389
262,labytnangi,66.6572,66.4183,5.76,74,0,2.24,RU,1721506391
263,illapel,-31.6308,-71.1653,12.17,74,0,3.76,CL,1721506392
264,cox's bazar,21.4532,91.9798,26.88,92,100,6.33,BD,1721506394
265,ekibastuz,51.6667,75.3667,22.39,55,92,2.77,KZ,1721506395
266,atlanta,33.749,-84.388,28.75,73,75,3.09,US,1721506397
267,nar'yan-mar,67.6713,53.087,6.08,81,10,2.66,RU,1721506398
268,bryan,30.6744,-96.37,33.3,48,40,3.6,US,1721506399
269,midvagur,62.0511,-7.1939,11.46,100,100,3.6,FO,1721506401
270,livingston,55.9029,-3.5226,16.74,94,100,2.57,GB,1721506402
271,klaksvik,62.2266,-6.589,11.51,98,100,6.73,FO,1721506404
272,puerto deseado,-47.7503,-65.8938,7.56,65,100,6.37,AR,1721506405
273,cabo san lucas,22.8909,-109.9124,33.61,51,0,2.57,MX,1721505932
274,nchelenge,-9.3451,28.734,20.25,51,0,1.36,ZM,1721506408
275,piacabucu,-10.4056,-36.4344,23.66,68,3,4.05,BR,1721506409
276,faya-largeau,17.9257,19.1043,33.28,39,33,4.51,TD,1721506411
277,harper,4.375,-7.7169,24.26,84,99,5.4,LR,1721506412
278,de haan,51.272,3.0429,21.99,71,20,3.09,BE,1721506414
279,vernon,50.2581,-119.2691,35.52,18,0,1.03,CA,1721506415
280,fordingbridge,50.9275,-1.7903,18.81,96,75,1.54,GB,1721506417
281,ofunato,39.0717,141.7167,21.75,91,100,2.49,JP,1721506418
282,castletown,53.0281,-9.0686,13.27,83,0,5.17,IE,1721506420
283,ringkobing,56.0901,8.244,18.99,77,0,2.06,DK,1721506422
284,cacheu,12.2706,-16.1658,29.05,83,26,3.55,GW,1721506424
285,ar raqqah,35.95,39.0167,32.82,39,0,10.88,SY,1721506425
286,igrim,63.1906,64.4162,10.24,72,100,4.0,RU,1721506427
287,shenjiamen,29.9576,122.298,26.51,95,95,8.01,CN,1721506428
288,dunedin,-45.8742,170.5036,8.22,84,13,1.34,NZ,1721506429
289,nemuro,43.3236,145.575,16.21,100,100,1.67,JP,1721506432
290,tropea,38.6754,15.8948,26.61,69,0,1.16,IT,1721506434
291,pergamino,-33.89,-60.5736,8.45,88,100,4.05,AR,1721506435
292,farkhar,36.5729,69.8578,21.5,38,50,1.43,AF,1721506438
293,kyabe,9.4515,18.9449,23.33,89,100,2.71,TD,1721506440
294,chipata,-13.6333,32.65,16.55,41,2,2.3,ZM,1721506441
295,lucapa,-8.4192,20.7447,21.47,19,0,0.84,AO,1721506442
296,gaspe,48.8334,-64.4819,29.12,32,40,6.17,CA,1721506444
297,cozumel,20.5083,-86.9458,32.04,70,75,6.17,MX,1721506445
298,buta,2.7858,24.73,21.79,98,100,0.82,CD,1721506447
299,carhuamayo,-10.9167,-76.0333,7.75,55,96,4.97,PE,1721506448
300,luderitz,-26.6481,15.1594,14.32,57,48,8.2,NA,1721506450
301,hoopstad,-27.8327,25.9083,5.81,21,0,3.3,ZA,1721506451
302,puerto cabezas,14.0351,-83.3888,30.98,79,40,4.12,NI,1721506453
303,ciudad lazaro cardenas,17.9583,-102.2,30.43,60,100,1.0,MX,1721506319
304,arak,34.0917,49.6892,25.95,20,0,1.72,IR,1721506455
305,tolanaro,-25.0319,46.9987,17.04,94,0,0.0,MG,1721506457
306,corinto,37.9407,22.9573,29.94,37,0,0.74,GR,1721506458
307,rongelap,11.1635,166.8941,27.97,80,5,7.92,MH,1721506460
308,guymon,36.6828,-101.4816,31.0,40,0,6.05,US,1721506461
309,medina,24.4686,39.6142,37.24,11,0,3.09,SA,1721506463
310,nanao,37.05,136.9667,25.18,86,100,1.36,JP,1721506464
311,kruisfontein,-34.0033,24.7314,11.05,73,15,5.47,ZA,1721506466
312,al ghayzah,16.2079,52.176,26.65,84,99,6.35,YE,1721506467
313,dalnegorsk,44.5604,135.5701,20.0,93,100,0.78,RU,1721506468
314,bel ombre,-4.6167,55.4167,25.91,83,20,8.23,SC,1721506470
315,riohacha,11.5444,-72.9072,31.06,84,20,6.17,CO,1721506471
316,naxos,37.1056,25.3764,29.77,63,0,2.06,GR,1721506473
317,karrapur,23.95,78.85,29.87,67,94,2.57,IN,1721506474
318,bikenibeu village,1.3673,173.1241,28.92,74,84,8.82,KI,1721506476
319,mahibadhoo,3.7833,72.9667,28.03,81,58,3.27,MV,1721506477
320,oulad teima,30.3947,-9.209,24.6,56,0,3.19,MA,1721506479
321,ramotswa,-24.8716,25.8699,14.79,26,2,2.16,BW,1721506480
322,hailey,43.5196,-114.3153,35.52,11,98,4.62,US,1721506482
323,sechura,-5.5569,-80.8222,23.13,57,2,8.89,PE,1721506483
324,nadi,-17.8,177.4167,24.0,83,20,2.06,FJ,1721506484
325,batticaloa,7.7102,81.6924,27.54,63,100,1.88,LK,1721506486
326,mao,39.8885,4.2658,26.31,89,0,4.12,ES,1721506487
327,acarau,-2.8856,-40.12,26.45,68,0,8.19,BR,1721506489
328,honcho,35.6931,139.9833,27.26,86,100,2.42,JP,1721506490
329,afaahiti,-17.75,-149.2833,24.93,69,99,10.73,PF,1721506492
330,delice,39.9537,34.0259,26.0,43,5,2.72,TR,1721506493
331,haiku-pauwela,20.9219,-156.3051,27.92,69,40,7.72,US,1721506495
332,st. john's,47.5649,-52.7093,24.26,64,20,3.6,CA,1721506498
333,dilling,12.05,29.65,25.57,71,13,3.72,SD,1721506499
334,kavieng,-2.5744,150.7967,27.4,81,99,5.73,PG,1721506501
335,tralee,52.2704,-9.7026,12.9,86,65,3.26,IE,1721506502
336,mooirivier,-29.2082,29.9946,7.57,93,92,2.79,ZA,1721506504
337,tionk essil,12.7856,-16.5217,29.03,83,34,4.52,SN,1721506505
338,sandnessjoen,66.0217,12.6316,20.29,87,88,4.94,NO,1721506506
339,tura,25.5198,90.2201,25.26,93,97,2.09,IN,1721506508
340,becerril,9.7041,-73.2793,36.57,43,31,3.04,CO,1721506509
341,korla,41.7597,86.1469,28.07,35,0,0.7,CN,1721506511
342,linfen,36.0889,111.5189,28.36,61,99,0.94,CN,1721506512
343,tomatlan,19.9333,-105.25,35.03,47,9,4.8,MX,1721506514
344,wachtberg,50.6213,7.1259,24.84,64,80,1.71,DE,1721506515
345,luau,-10.7073,22.2247,19.09,24,0,1.58,AO,1721506517
346,kununurra,-15.7667,128.7333,8.99,87,5,1.54,AU,1721506518
347,al qusiyah,27.4402,30.8184,34.15,15,0,2.37,EG,1721506520
348,prado,-17.3411,-39.2208,23.49,74,32,4.56,BR,1721506521
349,tvoroyri,61.5556,-6.8111,11.08,97,100,6.13,FO,1721506522
350,narok,-1.0783,35.8601,15.77,84,92,2.03,KE,1721506524
351,alice springs,-23.7,133.8833,-0.25,80,0,2.06,AU,1721506525
352,palikir - national government center,6.9248,158.1611,27.41,89,75,2.06,FM,1721506308
353,stanford-le-hope,51.5227,0.4342,21.93,75,20,4.12,GB,1721506528
354,praia da vitoria,38.7333,-27.0667,25.98,83,75,1.91,PT,1721506530
355,guerrero negro,27.9769,-114.0611,27.8,55,96,4.66,MX,1721506531
356,prince rupert,54.3161,-130.3201,17.08,90,100,1.55,CA,1721506285
357,lekki,6.3607,4.8333,23.38,94,45,2.5,NG,1721506534
358,tazovsky,67.4667,78.7,6.03,73,0,5.39,RU,1721506535
359,coquimbo,-29.9533,-71.3436,14.43,64,100,3.6,CL,1721506537
360,marat,25.0701,45.4615,35.95,11,46,3.9,SA,1721506538
361,myeik,12.4333,98.6,26.57,89,100,2.21,MM,1721506540
